State,Estimated 2019 pop ,population
California,39512223,395.12223
Illinois,12671821,126.71821
Arizona,7278717,72.78717
Massachusetts,6892503,68.92503
Washington,7614893,76.14893
Alabama,4903185,49.03185
Alaska,731545,7.31545
Arkansas,3017804,30.17804
Colorado,5758736,57.58736
Connecticut,3565287,35.65287
Delaware,973764,9.73764
District of Columbia,705749,7.05749
Florida,21477737,214.77737
Georgia,10617423,106.17423
Hawaii,1415872,14.15872
Idaho,1787065,17.87065
Indiana,6732219,67.32219
Iowa,3155070,31.5507
Kansas,2913314,29.13314
Kentucky,4467673,44.67673
Louisiana,4648794,46.48794
Maine,1344212,13.44212
Maryland,6045680,60.4568
Michigan,9986857,99.86857
Minnesota,5639632,56.39632
Mississippi,2976149,29.76149
Missouri,6137428,61.37428
Montana,1068778,10.68778
Nebraska,1934408,19.34408
Nevada,3080156,30.80156
New Hampshire,1359711,13.59711
New Jersey,8882190,88.8219
New Mexico,2096829,20.96829
New York,19453561,194.53561
North Carolina,10488084,104.88084
North Dakota,762062,7.62062
Ohio,11689100,116.891
Oklahoma,3956971,39.56971
Oregon,4217737,42.17737
Pennsylvania,12801989,128.01989
Rhode Island,1059361,10.59361
South Carolina,5148714,51.48714
South Dakota,884659,8.84659
Tennessee,6829174,68.29174
Texas,28995881,289.95881
Utah,3205958,32.05958
Vermont,623989,6.23989
Virginia,8535519,85.35519
West Virginia,1792147,17.92147
Wisconsin,5822434,58.22434
Wyoming,578759,5.78759
